OBJECTID,Station Name,Station Code,Managing Agency,County,Longitude,Latitude,Elevation (feet),x,y
69,GARDEN VALLEY R S,3448,NWS,BOISE,-115 55 00,44 04 00,3212,2346427.7279,1431277.1709
70,GARFIELD R.S  SNOTEL,13F04S,NRCS,BLAINE,-113 56 00,43 37 00,6560,2505309.3117,1379513.6143
71,GIBBONSVILLE,3554,NWS,LEMHI,-113 57 00,45 33 00,4480,2503831.936,1594267.3873
72,GIVEOUT SNOTEL,11G16S,NRCS,BEAR LAKE,-111 10 00,42 25 00,6930,2733059.7061,1250143.3267
73,GLENNS FERRY,3631,NWS,ELMORE,-115 19 00,42 56 00,2510,2392490.1107,1304466.2424
74,GOODING 2S,3682,NWS,GOODING,-114 42 00,42 55 00,3550,2442794.6755,1302012.0984
75,GRACE,3732,NWS,CARIBOU,-111 44 00,42 35 00,5550,2685935.8147,1267249.7714
76,GRAHAM GUARD STA  SNOTEL,15F14S,NRCS,BOISE,-115 16 00,43 57 00,5690,2398286.2439,1417313.1805
77,GRAND VIEW 2 W,3760,NWS,OWYHEE,-116 08 00,43 00 00,2400,2326036.3837,1313236.7182
78,GRANGEVILLE,3771,NWS,IDAHO,-116 08 00,45 55 00,3360,2334488.3567,1637214.5668
79,GRANGEVILLE 11 SE,3780,NWS,IDAHO,-115 57 00,45 49 00,4227,2348434.0085,1625740.8239
80,GROUSE,3882,NWS,BUTTE,-113 37 00,43 42 00,6100,2530818.8469,1388837.3699
81,HAGERMAN 2 SW,3932,NWS,GOODING,-114 56 00,42 48 00,2880,2423605.8974,1289241.6159
82,HAILEY AP,3942,NWS,BLAINE,-114 18 00,43 31 00,5306,2475682.251,1368449.7362
83,HAMER 4 NW,3964,NWS,JEFFERSON,-112 16 00,43 58 00,4790,2638981.9174,1419843.1776
84,HAZELTON,4140,NWS,JEROME,-114 08 00,42 36 00,4060,2488991.244,1266619.7019
85,HEADQUARTERS,4150,NWS,CLEARWATER,-115 48 00,46 38 00,3138,2362146.8119,1716208.0246
86,HEMLOCK BUTTE SNOTEL,15C06S,NRCS,CLEARWATER,-115 38 00,46 29 00,5810,2374559.0017,1699262.9527
87,HENRY,4230,NWS,CARIBOU,-111 31 00,42 54 00,6140,2702681.6923,1302914.8693
88,HILL CITY,4268,NWS,CAMAS,-115 03 00,43 18 00,5000,2414760.1042,1344878.8096
89,HILTS CREEK SNOTEL,13E27S,NRCS,CUSTER,-113 28 00,44 01 00,8000,2542679.8553,1424075.4522
90,HOLLISTER,4295,NWS,TWIN FALLS,-114 34 00,42 21 00,4525,2453256.1033,1239007.3349
91,HOWE,4384,NWS,BUTTE,-113 00 00,43 47 00,4820,2580398.4093,1398506.8699
92,HOWELL CANYON SNOTEL,13G01S,NRCS, ,-113 37 00,42 19 00,7980,2531519.4981,1235221.1201
93,HUMBOLDT GULCH SNOTEL,15B21S,NRCS,SHOSHONE,-115 47 00,47 32 00,4250,2365703.0111,1816193.1689
94,HYNDMAN SNOTEL,14F16S,NRCS,BLAINE,-114 10 00,43 42 00,7440,2486499.8376,1388780.5298
95,IDAHO CITY,4442,NWS,BOISE,-115 50 00,43 50 00,3965,2352526.1798,1405208.9237
96,IDAHO FALLS 16SE,4456,NWS,BONNEVILLE,-111 47 00,43 21 00,5850,2679586.469,1352281.8618
97,IDAHO FALLS 2ESE,4455,NWS,BONNEVILLE,-112 01 00,43 29 00,4765,2660322.3319,1366613.7363
98,IDAHO FALLS 46W,4460,NWS,BUTTE,-112 57 00,43 32 00,4938,2584773.149,1370791.4266
99,IDAHO FALLS FAA AP,4457,NWS,BONNEVILLE,-112 04 00,43 31 00,4730,2656192.7435,1370220.6015
100,ISLAND PARK,4598,NWS,FREMONT,-111 22 00,44 25 00,6290,2709581.3149,1471738.498
101,ISLAND PARK SNOTEL,11E10S,NRCS,FREMONT,-111 23 00,44 25 00,6290,2708254.359,1471695.9221
102,JACKSON PEAK SNOTEL,15E09S,NRCS,BOISE,-115 27 00,44 03 00,7070,2383769.7412,1428662.2398
103,JEROME,4670,NWS,JEROME,-114 31 00,42 44 00,3740,2457633.9106,1281545.8237
104,KAMIAH,4793,NWS,LEWIS,-116 02 00,46 14 00,1212,2343143.4104,1672196.5877
105,KELLOGG,4831,NWS,SHOSHONE,-116 10 00,47 33 00,2320,2336903.7762,1818778.6105
106,KETCHUM R S,4845,NWS,BLAINE,-114 21 00,43 41 00,5890,2471718.9787,1386975.6129
107,KOOSKIA,5011,NWS,LEWIS,-115 59 00,46 09 00,1280,2346767.0668,1662839.6446
108,KUNA 2 NNE,5038,NWS,ADA,-116 24 00,43 31 00,2680,2305946.3764,1371203.9755
109,LEADORE NO  2,5177,NWS,LEMHI,-113 21 00,44 41 00,6000,2551442.6024,1498193.84
110,LEWISTON W.B  AP,5241,NWS,NEZ PERCE,-117 01 00,46 23 00,1436,2267959.3376,1691276.5997
111,LIFTON PUMPING STN,5275,NWS,BEAR LAKE,-111 18 00,42 07 00,5930,2723144.6148,1216472.3064
112,LOLO PASS SNOTEL,14C05S,NRCS,IDAHO,-114 35 00,46 38 00,5240,2455276.7291,1714799.8377
113,LOOKOUT SNOTEL,15B02S,NRCS,SHOSHONE,-115 42 00,47 27 00,5140,2371772.4424,1806791.4089
114,LOST LAKE SNOTEL,15B14S,NRCS,SHOSHONE,-115 58 00,47 05 00,6110,2350642.4274,1766517.217
115,LOST-WOOD DIVIDE PILLOW,14F03S,NRCS,BLAINE,-114 16 00,43 50 00,7900,2478489.3789,1403610.5099
116,LOWMAN,5414,NWS,BOISE,-115 36 00,44 05 00,3920,2371825.0405,1432586.9589
117,MACKAY 4NW,5466,NWS,CUSTER,-113 40 00,43 57 00,6000,2526678.3622,1416586.9854
118,MACKAY RANGER STATION,5462,NWS,CUSTER,-113 37 00,43 55 00,5897,2530707.7943,1412901.9327
119,MAGIC MOUNTAIN SNOTEL,14G02S,NRCS,TWIN FALLS,-114 18 00,42 11 00,6880,2475155.1166,1220389.7848
120,MALAD CITY,5559,NWS,ONEIDA,-112 17 00,42 10 00,4470,2641734.9051,1219921.1767
121,MALTA 2 E,5563,NWS,CASSIA,-113 17 00,42 18 00,4540,2559004.7481,1233548.0427
122,MASSACRE ROCK ST PK,5678,NWS,POWER,-113 00 00,42 40 00,4230,2581880.1117,1274497.6432
123,MAY,5685,NWS,LEMHI,-113 55 00,44 36 00,5110,2506543.1664,1488735.7747
124,MC CALL,5708,NWS,VALLEY,-116 07 00,44 54 00,5025,2332808.1322,1524235.208
125,MCCAMMON,5716,NWS,BANNOCK,-112 12 00,42 39 00,4774,2647481.6213,1273732.6919
126,MEADOW LAKE SNOTEL,13E18S,NRCS,LEMHI,-113 19 00,44 26 00,9150,2554317.1916,1470445.0128
127,MICA CREEK,16B14S,NRCS,SHOSHONE,-116 16 00,47 09 00,4750,2328086.012,1774542.0396
128,MIDDLE FORK LODGE,5897,NWS,CUSTER,-115 01 00,44 43 00,4480,2419403.2906,1502193.7447
129,MILL CREEK SUMMIT SNOTEL,14E01S,NRCS, ,-114 28 00,44 28 00,8800,2462807.7386,1474027.6105
130,MINIDOKA 10 WNW,5972,NWS,MINIDOKA,-113 40 00,42 47 00,4290,2527195.5003,1287021.9428
131,MINIDOKA DAM,5980,NWS,CASSIA,-113 29 00,42 40 00,4210,2542271.0399,1274142.3555
132,MONTPELIER R  S,6053,NWS,BEAR LAKE,-111 18 00,42 19 00,5960,2722441.0008,1238680.9299
133,MOONSHINE SNOTEL,13E06S,NRCS,LEMHI,-113 25 00,44 25 00,7440,2546371.5493,1468532.43
134,MOORES CREEK SUMMIT SNOT,15F01S,NRCS,BOISE,-115 40 00,43 55 00,6100,2366113.2164,1414181.074
135,MOOSE CREEK SNOTEL,13D16S,NRCS, ,-113 57 00,45 40 00,6200,2503823.8841,1607228.9865
136,MORGAN CREEK SNOTEL,14E04S,NRCS,LEMHI,-114 16 00,44 51 00,7600,2478856.1244,1516537.4682
137,MOSCOW - UNIV OF IDAHO,6152,NWS,LATAH,-116 58 00,46 44 00,2660,2273267.0895,1730020.0432
138,MOSQUITO RIDGE SNOTEL,16A04S,NRCS,SHOSHONE,-116 14 00,48 03 00,5200,2333493.0028,1874487.6804
139,MOUNTAIN HOME,6174,NWS,ELMORE,-115 42 00,43 08 00,3190,2361659.3826,1327237.6255
140,MOUNTAIN MEADOWS SNOTEL,15D06S,NRCS,IDAHO,-115 14 00,45 42 00,6360,2403911.2167,1611671.0698
141,MUD FLAT SNOTEL,16G07S,NRCS,OWYHEE,-116 33 00,42 36 00,5730,2290726.2644,1269762.7653
142,MULLAN,6230,NWS,SHOSHONE,-115 48 00,47 28 00,3317,2364277.0091,1808813.3209
143,NAMPA SUGAR FACTORY,6305,NWS,OWYHEE,-116 34 00,43 37 00,2470,2292817.8624,1382712.669
144,NEW MEADOWS RANGER STN,6388,NWS,ADAMS,-116 17 00,44 58 00,3870,2319857.7504,1531997.6586
145,NEZPERCE,6424,NWS,LEWIS,-116 15 00,46 15 00,3145,2326490.0149,1674499.2491
146,NORTH STAR RANCH,6493,NWS,IDAHO,-114 50 00,45 55 00,2800,2435303.4689,1635341.5855
147,OAKLEY,6542,NWS,CASSIA,-113 53 00,42 14 00,4600,2509556.6825,1225903.9704
148,OLA 4 S,6590,NWS,GEM,-116 17 00,44 08 00,2990,2317266.9558,1439430.7361
149,OROFINO,6681,NWS,CLEARWATER,-116 16 00,46 29 00,1320,2325948.5523,1700462.7044
150,OXFORD SPRING SNOTEL,12G18S,NRCS,ONEIDA,-112 08 00,42 16 00,6740,2653882.995,1231285.0853
151,PALISADES DAM,6764,NWS,BONNEVILLE,-111 14 00,43 22 00,5385,2724103.2707,1355464.2433
152,PARMA EXP STN,6844,NWS,CANYON,-116 57 00,43 48 00,2220,2262608.8972,1404103.7602
153,PAUL 1 ENE,6877,NWS,MINIDOKA,-113 45 00,42 37 00,4210,2520433.6846,1268491.4422
154,PAYETTE,6891,NWS,OWYHEE,-116 56 00,44 05 00,2150,2265068.6114,1435526.8152
155,PICABO,7040,NWS,BLAINE,-114 04 00,43 18 00,4880,2494522.2103,1344345.6318
156,PIERCE,7049,NWS,CLEARWATER,-115 48 00,46 30 00,3170,2361808.8621,1701392.8043
157,PINE CREEK PASS,11F02S,NRCS,BONNEVILLE,-111 13 00,43 34 00,6720,2724710.9032,1377721.9945
158,PLUMMER 3WSW,7188,NWS,BENEWAH,-116 57 00,47 19 00,2960,2276984.2083,1794791.5928
159,POCATELLO WSO AP,7211,NWS,POWER,-112 36 00,42 55 00,4454,2614200.0126,1302724.6197
160,PORTHILL,7264,NWS,BOUNDARY,-116 30 00,49 00 00,1775,2317075.1667,1980688.2711
161,POTLATCH,7301,NWS,LATAH,-116 53 00,46 58 00,2600,2280586.5865,1755710.5237
162,POWELL,7320,NWS,IDAHO,-114 42 00,46 31 00,3632,2446231.6213,1701908.9456
163,PRAIRIE PILLOW,15F06S,NRCS,ELMORE,-115 35 00,43 30 00,4800,2371920.5087,1367772.425
164,PRESTON-KACH,7346,NWS,FRANKLIN,-111 50 00,42 08 00,4820,2679002.9231,1217065.8929
165,PRIEST RIVER EXP STN,7386,NWS,BONNER,-116 50 00,48 21 00,2380,2290012.6595,1909299.3282
166,REXBURG RICKS COLLEGE,7644,NWS,MADISON,-111 47 00,43 49 00,4920,2678203.5467,1404111.121
167,REYNOLDS,7648,NWS,OWYHEE,-116 45 00,43 12 00,3930,2276496.4315,1336909.8386
168,RICHFIELD,7673,NWS,BLAINE,-114 09 00,43 04 00,4310,2487716.2286,1318442.4318
169,RIGGINS,7706,NWS,IDAHO,-116 18 00,45 25 00,1800,2319968.1758,1582025.2648
170,RUPERT,7968,NWS,MINIDOKA,-113 41 00,42 37 00,4200,2525901.4775,1268509.7026
171,SAINT MARIES,8062,NWS,BENEWAH,-116 34 00,47 19 00,2220,2305952.7958,1793766.1638
172,SALMON 1 N,8080,NWS,LEMHI,-113 54 00,45 11 00,3930,2507785.5775,1553536.5313
173,SANDPOINT KSPT,8137,NWS,BONNER,-116 34 00,48 18 00,2100,2309581.7426,1903046.8382
174,SAVAGE PASS SNOTEL,14C04S,NRCS,IDAHO,-114 38 00,46 28 00,6170,2451301.0575,1696309.8921
175,SCHWEITZER BASIN SNOTEL,16A10S,NRCS,BONNER,-116 38 00,48 22 00,6090,2304892.6623,1910623.6886
176,SECESH SUMMIT SNOTEL,15D01S,NRCS,VALLEY,-115 58 00,45 11 00,6520,2345416.3826,1555412.5884
177,SEDGWICK PEAK,11G30S,NRCS,BANNOCK,-111 58 00,42 32 00,7850,2666920.688,1261211.1019
178,SHANGHI SUMMIT SNOTEL,15C04S,NRCS,CLEARWATER,-115 45 00,46 34 00,4570,2365809.5198,1708714.1307
179,SHEEP MTN  SNOTEL,11F11S,NRCS,BINGHAM,-111 41 00,43 13 00,6570,2688102.3106,1337694.2459
180,SHERWIN PILLOW,16C01S,NRCS,LATAH,-116 20 00,46 57 00,3200,2322369.2413,1752465.8915
181,SHOSHONE 1 WNW,8380,NWS,LINCOLN,-114 26 00,42 58 00,3950,2464589.0308,1307417.8737
182,SHOUP,8395,NWS,LEMHI,-114 18 00,45 22 00,3400,2476434.8331,1573942.3198
183,SILVER CITY 5 W,8412,NWS,OWYHEE,-116 49 00,43 01 00,6160,2270394.8833,1316729.2553
184,SLUG CREEK DIVIDE SNOTEL,11G05S,NRCS,BEAR LAKE,-111 18 00,42 34 00,7225,2721557.2584,1266442.9086
185,SODA SPRINGS  AIRPORT,8535,NWS,CARIBOU,-111 36 00,42 40 00,5920,2696615.2653,1276805.5305
186,SOLDIER R.S  PILLOW,14F11S,NRCS,CAMAS,-114 49 00,43 29 00,5740,2433886.1758,1365027.7905
187,SOMSEN RANCH SNOTEL,11G01S,NRCS,CARIBOU,-111 22 00,42 57 00,6800,2714755.0896,1308840.1006
188,SOUTH MTN  PILLOW,16G01S,NRCS,CARIBOU,-116 54 00,42 46 00,6500,2262645.9208,1289196.3424
189,SQUAW FLAT PILLOW,16E05S,NRCS, ,-116 15 00,44 46 00,6240,2321870.0414,1509706.9034
190,ST  ANTHONY 1 WNW,8022,NWS,FREMONT,-111 43 00,43 58 00,4950,2683104.8636,1420917.2876
191,STANLEY,8676,NWS,CUSTER,-114 56 00,44 13 00,6271,2425370.1576,1446575.9115
192,STICKNEY MILL SNOTEL,14F02S,NRCS,CUSTER,-114 13 00,43 52 00,7430,2482519.1075,1407301.0149
193,STREVELL,8786,NWS,CASSIA,-113 15 00,42 01 00,5280,2562028.5871,1202112.7724
194,SUNSET SNOTEL,15B09S,NRCS,SHOSHONE,-115 49 00,47 33 00,5540,2363237.5457,1818103.4772
195,SWAN FALLS POWER HSE,8928,NWS,ADA,-116 23 00,43 15 00,2325,2306447.1762,1341548.9497
196,SWAN VALLEY 2 E,8937,NWS,BONNEVILLE,-111 18 00,43 27 00,5360,2718401.326,1364542.382
197,SWEDE PEAK PILLOW,13F09S,NRCS,BLAINE,-113 58 00,43 37 00,7640,2502619.6374,1379512.0856
198,TAYLOR RANCH,9000,NWS,VALLEY,-114 51 00,45 06 00,3835,2433050.3144,1544625.6052
199,TETONIA EXP STN,9065,NWS,TETON,-111 16 00,43 51 00,6170,2719634.8757,1409056.836
200,THREE CREEK,9119,NWS,OWYHEE,-115 15 00,42 05 00,5460,2396538.048,1209999.1132
201,TRINITY MTN  SNOTEL,15F05S,NRCS,ELMORE,-115 26 00,43 38 00,7770,2384303.128,1382360.8103
202,TWIN FALLS KVMT,9293,NWS,TWIN FALLS,-114 28 00,42 35 00,3670,2461635.1491,1264866.1231
203,TWIN FALLS WSO,9303,NWS,TWIN FALLS,-114 21 00,42 33 00,3960,2471193.5538,1261118.7588
204,VIENNA MINE PILLOW,14F04S,NRCS,CAMAS,-114 51 00,43 48 00,8960,2431550.6321,1400224.4857
205,WALLACE WOODLAND PARK,9498,NWS,SHOSHONE,-115 53 00,47 30 00,2940,2358086.8355,1812666.4628
206,WARREN,9560,NWS,IDAHO,-115 40 00,45 16 00,5907,2369176.8579,1564140.3675
207,WEISER 2 SE,9638,NWS,WASHINGTON,-116 57 00,44 14 00,2103,2264332.1304,1452235.8862
208,WEST BRANCH SNOTEL,16D08S,NRCS,ADAMS,-116 26 00,45 04 00,5560,2308362.0978,1543450.1573
209,WHITE ELEPHANT SNOTEL,11E36S,NRCS,FREMONT,-111 25 00,44 32 00,7710,2705190.9585,1484570.9971
210,WILDHORSE DIVIDE SNOTEL,12G17S,NRCS,POWER,-112 29 00,42 45 00,6490,2624055.7907,1284381.5719
211,WILSON CREEK,15G02S,NRCS,TWIN FALLS,-115 01 00,42 01 00,7500,2415750.3158,1202341.1812
212,WINCHESTER 1 ESE,9846,NWS,LEWIS,-116 37 00,46 13 00,3940,2298104.7483,1671662.7714
213,YELLOW PINE 7 S,9951,NWS,VALLEY,-115 31 00,44 52 00,5070,2380111.4906,1519472.3696
